class,BL,BH,ML,BCL,CCB1,CC,CCB2,b
Q1,1.094333333,1.098666667,0.199166667,1.178166667,NaN,0.252833333,0.043,YS
Q2,0.899833333,1.130833333,0.197833333,1.077333333,0.0755,0.360166667,0.054166667,YS
Q3,0.818833333,0.846833333,0.223166667,0.867166667,0.0495,0.278,0.036333333,YS
Q4,0.7855,0.787166667,0.2035,0.859333333,0.0555,0.302,0.045,YS
Q5,0.86,0.959666667,0.188833333,0.978166667,0.064,0.293333333,0.044833333,YS
Q6,0.962,0.982833333,0.200166667,1.030833333,0.068333333,0.301333333,0.044833333,YS
Q7,0.698333333,0.829833333,0.143833333,0.83,0.055666667,NaN,NaN,YS
Q8,0.837833333,1.069666667,0.178166667,0.9325,0.064833333,0.377166667,0.055666667,YS
Q9,0.907166667,1.01,0.156833333,0.920333333,0.064,0.372333333,0.051,YS
Q10,0.844333333,0.931,0.244166667,0.892166667,0.062,0.4135,0.052,YS
Q11,1.015333333,1.023666667,0.188833333,1.097,0.067,0.315,0.043166667,YS
Q12,0.823833333,0.943833333,0.1605,0.881666667,0.057666667,0.248666667,0.034166667,YS
Q13,0.935666667,1.141333333,0.163666667,1.008833333,0.077166667,0.331833333,0.048666667,YS
Q14,0.9208175,0.956105,0.162833333,0.987974167,0.068,0.278333333,0.045682222,YS
Q15,0.962833333,0.973166667,0.207333333,1.027,0.075833333,0.428,0.052333333,YS
Q16,0.851666667,0.938833333,0.206833333,0.968,0.0695,0.361166667,0.043333333,YS
Q17,0.881833333,0.893833333,0.203833333,0.964,0.063166667,NaN,NaN,YS
Q18,0.957,1.068333333,0.215333333,1.03,0.071833333,0.368333333,0.051166667,YS
Q19,0.968833333,1.066333333,0.225,1.015833333,0.080333333,0.403166667,0.051166667,YS
Q20,0.933333333,1.037833333,0.229833333,0.974833333,0.0605,0.369833333,0.046833333,YS
Q21,0.912166667,0.95,0.1925,1.006333333,0.065833333,NaN,0.0565,YS
Q22,0.8745,0.9355,0.134166667,0.9555,0.069166667,0.3945,0.0465,YS
Q23,0.8485,0.872333333,NaN,0.889666667,0.0615,0.315333333,0.041666667,YS
Q24,0.753,0.823333333,0.141666667,0.906833333,0.060833333,0.354666667,0.053,YS
Q25,1.092333333,1.039833333,0.214666667,1.156166667,NaN,0.410166667,0.051,YS
Q26,1.004333333,1.194833333,0.291666667,1.098333333,0.069833333,0.3785,0.046,YS
Q27,0.919666667,1.0025,0.238333333,0.989666667,0.056333333,0.294833333,0.037166667,YS
Q28,0.852666667,0.9375,NaN,0.936833333,0.063666667,0.347166667,NaN,YS
Q29,0.731166667,0.852833333,0.186833333,0.791333333,0.06,0.267666667,0.037333333,YS
Q30,0.7195,0.869333333,0.1765,0.831333333,0.0645,0.270833333,0.0385,YS
Q31,0.734333333,0.812,0.200833333,0.765,0.064666667,0.3455,NaN,YS
Q32,0.707833333,0.842166667,0.230333333,0.796833333,0.054,0.268166667,0.037666667,YS
Q33,0.787,0.873333333,0.2025,0.823,0.061833333,0.297166667,0.038666667,YS
Q34,0.92,1.102,0.213,1.037833333,0.059,0.342166667,0.043,YS
Q35,0.8585,0.931,0.139666667,0.937833333,0.070333333,0.329,0.045833333,YS
Q36,0.826333333,0.966833333,0.187333333,0.916,NaN,0.286166667,0.042,YS
Q37,0.767,0.883333333,0.148333333,0.818,0.055833333,0.281833333,0.036333333,YS
Q38,0.754,0.9545,0.209833333,0.8165,0.061166667,0.314166667,0.038,YS
Q39,0.794833333,0.948333333,0.214166667,0.879,0.065833333,0.307333333,0.038666667,YS
Q40,0.865333333,0.9895,0.185,0.964833333,0.063,0.297833333,0.036333333,YS
Q41,0.6105,0.839166667,0.189166667,0.696166667,0.0525,0.324166667,0.036833333,YS
Q42,0.597833333,0.9172,0.19,0.736333333,0.0525,0.255833333,0.034333333,YS
Q43,0.767666667,0.875666667,0.134166667,0.8325,0.0645,0.314666667,0.0435,YS
Q44,0.749,0.954333333,0.259666667,0.830166667,0.060666667,0.312833333,0.038,YS
Q45,0.802,0.905666667,0.1605,0.842,0.057666667,0.3275,0.0425,YS
Q46,0.910166667,1.044666667,0.1565,0.996,0.064666667,0.2925,0.040166667,YS
Q47,0.8805,0.870333333,0.154166667,0.958166667,0.061833333,0.344,0.042,YS
Q48,1.092166667,1.092333333,0.216,1.1835,0.069,0.335833333,0.050333333,YS
Q49,0.845,0.887833333,0.164166667,0.973166667,0.055,0.353,NaN,YS
Q50,0.814833333,0.972166667,0.203166667,0.933,0.067333333,0.3505,0.046166667,YS
Q51,0.816,0.9695,0.177333333,0.888666667,0.0575,0.293833333,NaN,YS
Q52,0.786333333,0.9305,0.178666667,0.8305,0.066,0.249833333,0.037333333,YS
Q53,0.8855,0.929166667,0.161166667,0.907333333,0.06,0.275166667,0.0375,YS
Q54,0.908833333,1.017333333,0.242666667,0.936666667,0.059166667,0.282,0.034,YS
Q55,0.804,0.983166667,0.205166667,0.854166667,0.0566,0.373666667,NaN,YS
Q56,0.710755833,0.9058725,0.27,0.768760833,0.060833333,0.322666667,0.038917778,YS
Q57,0.870333333,0.888666667,0.183,0.919333333,0.067666667,0.345,0.047166667,YS
Q58,0.881666667,0.979166667,0.2295,0.903333333,0.059833333,0.278166667,0.036833333,YS
Q59,0.9175,0.996666667,0.212333333,0.893166667,0.064,0.309,0.038166667,YS
Q60,0.898333333,1.007,0.257166667,0.917,0.059166667,0.288,0.0355,YS
Q61,0.795833333,0.891833333,0.170833333,0.853833333,0.056,0.331833333,0.036333333,YS
Q62,0.906666667,0.942,0.163166667,0.934666667,0.068833333,0.302,0.043333333,YS
Q63,0.800333333,0.842,0.136333333,0.854333333,0.0602,0.320666667,0.037833333,YS
Q64,0.853166667,0.9435,0.180333333,0.860666667,0.0615,0.284666667,0.038166667,YS
Q65,0.913166667,0.9905,0.207333333,0.945166667,0.069333333,0.309166667,0.047,YS
Q66,0.833666667,0.91,0.1755,0.897333333,0.065,0.291666667,0.038333333,YS
Q67,0.8275,0.971333333,0.171666667,0.9065,0.061333333,0.310166667,0.0365,YS
Q68,0.810065833,0.777058333,0.183333333,0.8447575,NaN,0.3385,0.04026,YS
Q69,0.895,0.977166667,0.168333333,0.923666667,NaN,0.341666667,0.039333333,YS
Q70,0.915333333,1.027166667,0.181833333,0.940166667,NaN,0.322666667,0.047833333,YS
Q71,0.737,0.849,0.203333333,0.833333333,0.060833333,0.32,0.041,YS
Q72,0.8935,0.909166667,NaN,0.995333333,0.06,0.319166667,NaN,YS
Q73,0.840833333,0.974166667,0.189833333,0.949333333,0.0568,0.325833333,NaN,YS
Q74,0.819333333,0.850833333,0.179166667,0.911333333,0.0654,0.2955,NaN,YS
Q75,0.8075,0.999333333,0.204333333,0.901333333,0.064333333,0.337333333,0.0385,YS
Q76,0.6875,0.959666667,0.243166667,0.789,0.063166667,0.334833333,0.045333333,YS
Q77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YS
Q78,0.759,0.984,0.204166667,0.949833333,NaN,0.341333333,0.038666667,YS
Q79,0.763166667,0.859,0.1745,0.873833333,0.055166667,0.330333333,0.036166667,YS
Q80,0.890666667,1.033,0.160833333,0.9465,NaN,0.306166667,0.034833333,YS
Q81,0.8565,0.905,0.163166667,0.920666667,0.0584,0.326666667,NaN,YS
Q82,0.853166667,0.918833333,0.144166667,0.855,0.058,0.298833333,0.0345,YS
Q83,0.646,0.881166667,0.1885,0.709833333,0.060833333,0.302833333,0.0455,YS
Q84,0.796333333,0.880166667,0.1315,0.8715,0.052833333,0.326333333,0.035166667,YS
Q85,0.722833333,0.979,0.279833333,0.8295,0.064666667,0.354333333,0.043666667,YS
Q86,0.765666667,1.0055,0.148666667,0.862833333,NaN,NaN,NaN,YS
Q87,0.695,0.858833333,0.205833333,0.835,0.059166667,0.320833333,0.040333333,YS
Q88,0.668333333,0.866166667,0.195833333,0.713333333,0.058,0.3455,0.036,YS
Q89,0.700166667,0.881166667,0.159666667,0.786833333,0.055666667,0.269833333,0.035166667,YS
Q90,0.818666667,1.004166667,0.207,0.937833333,NaN,0.350166667,0.042666667,YS
Q91,0.789166667,0.946,0.168666667,0.906833333,0.054333333,0.315166667,NaN,YS
Q92,0.805333333,1.0495,0.1785,0.858666667,NaN,0.305333333,0.033833333,YS
Q93,0.804333333,1.044333333,0.216,0.926833333,0.0595,0.314,0.035666667,YS
Q94,0.765,0.9165,0.155,0.883833333,0.061333333,0.354,0.0455,YS
Q95,0.783666667,0.951666667,0.282833333,0.882833333,0.058666667,0.3375,0.0435,YS
Q96,0.802166667,1,0.2155,0.858,0.052166667,0.281333333,0.030666667,YS
Q97,0.783833333,1.069333333,0.172166667,0.904833333,0.057166667,0.327666667,0.035166667,YS
Q98,0.786666667,0.977,0.182666667,0.845333333,0.065333333,0.3105,NaN,YS
Q99,0.705833333,0.914166667,0.1505,0.764333333,0.0595,0.295833333,0.0435,YS
Q100,0.782166667,0.9685,0.16,0.816166667,NaN,0.2895,0.04,YS
Q101,0.765166667,0.966,NaN,0.819333333,0.0615,0.274166667,0.034833333,YS
Q102,0.732166667,1.003166667,0.243,0.824333333,NaN,0.294333333,0.0375,YS
Q103,0.730833333,0.941333333,0.205,0.803,0.067,0.271333333,0.035,YS
Q104,0.800333333,0.916,0.186,0.8515,0.055166667,0.296333333,0.034666667,YS
Q105,0.751833333,0.892,0.281166667,0.829333333,0.059,0.303166667,0.035,YS
Q106,0.716333333,0.890333333,0.1745,0.875,0.0625,0.312333333,0.0405,YS
Q107,0.602833333,0.791333333,0.206,0.700666667,NaN,0.2685,0.033833333,YS
Q108,0.6375,0.856666667,0.149,0.726833333,0.059833333,0.277833333,0.038333333,YS
Q109,0.860666667,1.05,0.242333333,0.9945,0.060666667,0.312666667,0.0345,YS
Q110,0.671666667,0.998666667,0.234333333,0.8435,0.065666667,0.283666667,0.044,YS
Q111,0.767333333,1.016833333,0.164833333,0.8515,NaN,0.338666667,0.039333333,YS
Q112,0.738666667,0.906666667,0.162166667,0.84,NaN,0.3355,NaN,YS
Q113,0.730833333,0.902666667,0.178333333,0.851666667,0.063,0.344666667,0.046666667,YS
Q114,0.8995,1.011,0.2245,0.939,0.056833333,0.3685,0.0385,YS
Q115,0.762833333,1.048666667,0.1535,0.848333333,NaN,0.362,NaN,YS
Q116,0.885166667,1.026,NaN,1.0385,NaN,NaN,NaN,YS
Q117,0.879166667,1.095333333,0.2105,0.9885,NaN,0.353666667,0.040166667,YS
Q118,0.710833333,0.876,0.179833333,0.738,0.058833333,0.319833333,0.043333333,YS
Q119,0.792166667,0.930666667,0.232166667,0.8545,0.070666667,0.320166667,0.042833333,YS
Q120,0.776666667,0.894666667,0.209666667,0.872,0.0654,0.308666667,0.041833333,YS
Q121,0.745,0.913,0.156666667,0.799,0.055,0.3015,0.035833333,YS
Q122,0.839833333,0.998166667,0.17,0.935833333,NaN,0.318833333,NaN,YS
Q123,0.812833333,1.023333333,0.158,0.915166667,0.067666667,0.328333333,0.0475,YS
Q124,0.672666667,0.803833333,0.229166667,0.746833333,0.058833333,0.321333333,0.042333333,YS
Q125,0.704,0.844166667,0.166,0.787166667,0.0635,0.294666667,0.04,YS
Q126,0.769833333,0.971,0.153833333,0.906666667,NaN,0.3675,0.046833333,YS
Q127,0.6345,0.896,NaN,0.745,0.058833333,0.364166667,0.0345,YS
Q128,0.717166667,0.928666667,0.151833333,0.776833333,0.047666667,0.321,0.036166667,YS
Q129,0.761666667,0.957666667,0.167,0.8735,0.0625,0.2965,0.036,YS
Q130,0.7665,0.929333333,0.179833333,0.849666667,NaN,0.286666667,0.038333333,YS
Q131,0.783333333,0.928,0.1935,0.849333333,0.060333333,0.316833333,0.037833333,YS
Q132,0.833666667,0.903166667,NaN,0.855,0.057666667,0.331833333,0.0335,YS
Q133,0.764166667,0.945166667,0.183,0.826666667,0.060333333,0.321666667,0.035166667,YS
Q134,0.781833333,1.005166667,0.188666667,0.888833333,NaN,0.318666667,0.04,YS
Q135,0.706166667,0.9155,0.262333333,0.8145,0.067,0.339,0.039666667,YS
Q136,0.738,0.958333333,0.2575,0.838166667,0.0575,0.273333333,0.037333333,YS
Q137,0.644166667,0.941333333,0.2065,0.798333333,NaN,0.351333333,0.04,YS
Q138,0.738333333,1.011,0.143833333,0.832666667,0.062666667,0.339,0.044,YS
Q139,0.589833333,0.751666667,0.122166667,0.659,0.056166667,0.305,0.038666667,YS
Q140,NaN,NaN,NaN,NaN,NaN,0.3855,NaN,YS
Q141,0.6155,1.004,NaN,0.776166667,NaN,0.326166667,0.037166667,YS
Q142,0.811166667,1.009833333,0.213,0.844666667,0.057,0.316333333,0.0375,YS
Q151,0.651,0.733166667,0.160333333,0.7335,NaN,0.2895,0.032166667,HH
Q152,0.681666667,0.898,0.201333333,0.833333333,0.057166667,0.239666667,0.034666667,HH
Q153,0.678833333,0.795833333,0.164166667,0.825833333,0.049333333,0.268,0.037333333,HH
Q154,0.733666667,0.797166667,0.148166667,0.822333333,0.045833333,0.227,0.026,HH
Q155,0.843666667,1.0095,NaN,0.992166667,0.065,0.307333333,0.034666667,HH
Q156,0.758166667,0.9185,NaN,0.907333333,0.060333333,0.328166667,NaN,HH
Q157,0.900666667,NaN,0.2075,1.012833333,0.063,0.3785,NaN,HH
Q158,0.6915,0.811,0.146833333,0.802333333,0.0515,0.255333333,0.0315,HH
Q159,0.6265,0.849,0.211666667,0.738,0.0485,0.276333333,0.035666667,HH
Q160,0.7445,0.882833333,0.167333333,0.880666667,0.053333333,0.2295,0.031333333,HH
Q161,0.804833333,0.837166667,NaN,0.945166667,0.058,0.2925,0.035,HH
Q162,0.599666667,0.776333333,0.124333333,0.694,0.048166667,0.262,0.033666667,HH
Q163,0.608333333,0.799666667,0.163166667,0.658,0.049333333,0.223,0.031666667,HH
Q164,0.773,0.882333333,0.156333333,0.8615,0.055166667,0.278333333,0.0365,HH
Q165,0.544833333,0.644833333,0.1095,0.600333333,0.051333333,0.1855,0.028833333,HH
Q166,0.659,0.819666667,0.1575,0.803666667,0.051833333,0.238833333,0.0345,HH
Q167,0.738833333,0.8545,0.232166667,0.802,0.053166667,0.285666667,0.043333333,HH
Q168,0.859833333,0.982666667,0.242333333,0.951666667,0.056,0.317833333,0.0375,HH
Q169,0.834,0.935,0.2005,0.872666667,0.058,0.318333333,0.038,HH
Q170,0.864833333,0.9155,0.205333333,0.930166667,0.057333333,0.314666667,0.0345,HH
Q171,0.7275,0.857833333,0.19,0.856833333,0.055833333,0.356833333,NaN,HH
Q172,0.770666667,0.868166667,0.174333333,0.834166667,0.0575,0.276666667,0.035,HH
Q173,0.781,0.895,0.184666667,0.829,0.056833333,0.322,0.0315,HH
Q174,0.711833333,0.6905,0.151833333,0.742166667,0.0485,0.238166667,0.032666667,HH
Q175,0.742833333,0.855833333,0.180333333,0.895,0.0545,0.271333333,0.0395,HH
Q176,0.788333333,0.872166667,0.1725,0.858166667,0.0575,0.269666667,0.038166667,HH
Q177,0.784666667,0.846333333,0.170166667,0.829,0.053166667,0.256833333,0.035333333,HH
Q178,0.736666667,0.849333333,0.158166667,0.792666667,0.052333333,0.249166667,0.037833333,HH
Q179,0.745333333,0.881666667,0.156666667,0.847,0.053,0.239833333,0.0335,HH
Q180,0.6615,0.779166667,0.147333333,0.727166667,0.054166667,0.225333333,0.034333333,HH
Q181,0.720833333,0.822833333,0.134833333,0.762,0.058666667,0.259,0.034,HH
Q182,0.583166667,0.6955,NaN,0.667333333,0.0575,0.225333333,0.041833333,HH
Q183,0.772166667,0.8295,NaN,0.895166667,0.049833333,0.248166667,0.027833333,HH
Q184,0.706833333,0.856,0.127666667,0.7745,0.057833333,0.291,0.036166667,HH
Q185,0.764666667,0.921,0.259,0.854,0.055666667,0.283,0.032833333,HH
Q186,0.625833333,0.803166667,0.163,0.695333333,0.047166667,0.255666667,0.0345,HH
Q187,0.653833333,0.734333333,0.126833333,0.761666667,0.049166667,0.238166667,0.033,HH
Q188,0.720833333,0.833,0.172333333,0.887666667,0.053,0.292833333,0.037,HH
Q189,0.639333333,0.763666667,0.144833333,0.707833333,0.049166667,0.262833333,0.0375,HH
Q190,0.6125,0.753833333,0.140666667,0.695833333,0.046666667,0.186,0.026833333,HH
Q191,0.6985,0.814166667,0.156,0.772,0.0495,0.248833333,0.031333333,HH
Q192,0.546,0.7505,0.142333333,0.629333333,0.048333333,0.282166667,0.0385,HH
Q193,0.559666667,0.758333333,0.126833333,0.686166667,0.054166667,0.2455,0.034333333,HH
Q194,0.758666667,0.856833333,0.167333333,0.838666667,0.0535,0.27,0.0365,HH
Q195,0.763666667,0.920666667,0.191666667,0.872,0.0525,0.309333333,0.035833333,HH
Q196,0.709,0.826833333,0.213666667,0.827333333,0.06,0.233166667,0.037666667,HH
Q197,0.6415,0.764166667,0.161333333,0.716,0.056666667,0.2705,0.034833333,HH
Q198,0.725166667,0.869833333,0.188833333,0.7685,0.052,0.229333333,0.029833333,HH
Q199,0.594,0.7,0.137833333,0.602,0.052833333,0.244,0.034666667,HH
Q200,0.760666667,0.914333333,0.1715,0.819833333,0.0595,0.312666667,0.036666667,HH
Q201,0.770166667,0.865666667,0.170833333,0.85,0.053666667,0.307333333,0.037333333,HH
Q202,0.692166667,0.865333333,0.1975,0.7935,0.0505,0.264166667,0.032166667,HH
Q203,0.850333333,0.860333333,0.1825,0.872,0.059666667,0.267,0.030833333,HH
Q204,0.911166667,0.9405,0.1775,0.997833333,0.064333333,0.309,0.037333333,HH
Q205,0.8055,0.912833333,0.191,0.858333333,0.058166667,0.2825,0.037,HH
Q206,0.699833333,0.822333333,0.1805,0.760666667,0.058666667,0.253166667,0.039333333,HH
Q207,0.792666667,0.9485,0.188833333,0.903166667,0.067666667,0.267333333,0.037666667,HH
Q208,0.789833333,0.883833333,0.160833333,0.830333333,0.053333333,0.268666667,0.034833333,HH
Q209,0.648166667,0.763166667,0.144666667,0.709,0.052166667,0.2575,0.034666667,HH
Q210,0.644666667,0.777333333,0.131,0.711166667,0.055,0.252333333,0.0365,HH
Q211,0.802833333,0.9155,0.206833333,0.836166667,0.056833333,0.316,NaN,HH
Q212,0.8035,0.851666667,0.159,0.8775,0.050833333,0.2775,0.0355,HH
Q213,0.669666667,0.704166667,0.129166667,0.6945,0.052666667,0.247,0.033166667,HH
Q214,0.64,0.7425,0.151166667,0.652833333,0.057833333,0.267166667,0.039833333,HH
Q215,0.800666667,0.847,0.178333333,0.847166667,0.0595,0.265833333,0.034166667,HH
Q216,0.650166667,0.7435,0.123166667,0.68,0.051833333,0.251,NaN,HH
Q217,0.722666667,0.8325,NaN,0.764666667,0.063833333,0.249666667,0.035333333,HH
Q218,0.702666667,0.810833333,0.119833333,0.764333333,0.0545,0.269333333,NaN,HH
Q219,0.5885,0.678,0.1365,0.641666667,0.049333333,0.243666667,0.0385,HH
Q220,0.772333333,0.891833333,0.256,0.803333333,0.051166667,0.316666667,0.029666667,HH
Q221,0.729833333,0.906333333,0.234833333,0.820666667,0.058333333,0.293333333,0.036833333,HH
Q222,0.773,0.907,0.200166667,0.8705,0.064833333,0.3165,0.039166667,HH
Q223,0.728833333,0.826666667,0.119833333,0.7995,0.050833333,0.2695,0.032166667,HH
Q224,0.712166667,0.926166667,0.226166667,0.799166667,NaN,0.238833333,0.034,HH
Q225,0.867166667,0.846333333,0.188833333,0.985166667,0.054,0.2845,0.037,HH
Q226,0.8645,0.855666667,0.163166667,0.977166667,0.060333333,0.274333333,0.042,HH
Q227,0.825333333,0.836166667,0.191166667,0.958666667,0.051833333,0.2225,0.030666667,HH
Q228,0.796166667,0.815,0.168166667,0.828333333,0.056833333,0.264166667,0.034833333,HH
Q229,0.788166667,0.9525,0.2085,0.8875,0.056333333,0.277333333,NaN,HH
Q230,0.876166667,0.943666667,0.159,0.931833333,0.060333333,0.329666667,0.032166667,HH
Q231,0.755666667,0.869666667,0.196166667,0.780333333,0.060833333,0.289,NaN,HH
Q232,0.777833333,0.923666667,0.1915,0.859333333,0.069,0.314666667,NaN,HH
Q233,0.796333333,0.835833333,0.19,0.853333333,0.058166667,0.277333333,0.036333333,HH
Q234,0.746,0.847666667,0.188166667,0.857833333,0.058166667,0.238,0.033166667,HH
Q235,0.873,0.913833333,0.1745,0.933833333,0.060666667,0.291333333,0.032166667,HH
Q236,0.776166667,0.843333333,0.175,0.8335,0.052833333,0.273,0.036666667,HH
Q237,0.671833333,0.821666667,0.179833333,0.7875,0.057666667,0.272,0.039,HH
Q238,0.697333333,0.784333333,0.196333333,0.773166667,0.0495,0.306833333,0.033833333,HH
Q239,0.5165,0.72,0.160666667,0.537666667,0.0445,0.259666667,0.036833333,HH
Q240,0.744833333,0.933833333,0.236166667,0.841166667,0.059166667,0.297166667,0.037,HH
Q241,0.668833333,0.802333333,0.183333333,0.775333333,0.050833333,0.3055,0.035833333,HH
Q242,0.7575,0.7915,0.135833333,0.898,0.0545,0.253333333,NaN,HH
Q243,0.789166667,0.926,0.22,0.931166667,0.056,0.264833333,NaN,HH
Q244,0.793,0.820333333,0.202,0.827833333,0.0605,0.242666667,0.0325,HH
Q245,0.732,0.9245,0.228333333,0.774833333,0.057166667,0.273,0.032666667,HH
Q246,0.716333333,0.868833333,0.1835,0.788833333,0.056,0.256166667,0.034166667,HH
Q247,0.730833333,0.920666667,0.221666667,0.829166667,0.067833333,0.279166667,0.039,HH
Q248,0.712333333,0.812,0.175283333,0.8205,0.0505,0.2805,NaN,HH
Q249,0.903166667,1.019166667,0.228166667,0.958166667,0.058166667,0.257166667,0.030833333,HH
Q250,0.768,0.8375,0.1755,0.791,0.055833333,0.301833333,NaN,HH
Q251,0.835333333,0.988833333,0.195,0.960333333,0.064,0.237833333,0.0305,HH
Q252,0.595,0.771666667,0.133166667,0.637,0.063166667,0.25,0.040666667,HH
Q253,0.7745,0.865166667,0.216166667,0.899166667,0.063833333,0.289666667,NaN,HH
Q254,0.817666667,0.921,0.1915,0.891,0.060166667,0.266333333,NaN,HH
Q255,0.76,0.891166667,0.202,0.825166667,0.066833333,0.254666667,0.0345,HH
Q256,0.752833333,0.891333333,0.193,0.847833333,0.059333333,0.2425,NaN,HH
Q257,0.7585,0.863833333,0.169,0.8295,0.056166667,0.253166667,NaN,HH
Q258,0.873666667,1.084,0.215166667,0.988666667,0.063333333,0.335666667,0.043,HH
Q259,0.842833333,1.016833333,0.216166667,0.987166667,0.0655,0.257333333,0.035,HH
Q260,0.940166667,1.0125,0.245833333,1.0185,NaN,0.2755,0.035833333,HH
Q261,1.054666667,0.9785,0.197333333,1.098166667,0.063,0.3025,0.039166667,HH
Q262,0.564166667,0.7535,0.125833333,0.6475,0.0585,0.228333333,0.0385,HH
Q263,0.670166667,0.785833333,0.130833333,0.814666667,0.060166667,0.234,0.038,HH
Q264,0.596333333,0.805666667,0.185,0.656833333,0.0575,0.207333333,0.032166667,HH
Q265,0.780666667,0.937333333,0.2065,0.943333333,0.058666667,0.2445,0.030333333,HH
Q266,0.5655,0.692,0.17,0.635333333,0.0485,0.209833333,NaN,HH
Q267,0.605333333,0.699333333,0.1365,0.725666667,0.053666667,0.219833333,0.03,HH
Q268,0.806333333,0.845833333,0.1505,0.890333333,0.058,0.296833333,0.033166667,HH
